Algorithm,N,S,R%,Parity,PayloadBytes,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
XOR,50,250,50.0,25,12500,0.000143622,0.000002721,1.148973333e-08,2.176533333e-10
ReedSolomon,50,250,50.0,25,12500,0.000382985,0.000380885,3.063877333e-08,3.047082667e-08
RaptorQ,50,250,50.0,25,12500,0.000082626,0.000091837,6.610080000e-09,7.346986667e-09
XOR,50,512,10.0,5,25600,0.000055979,0.000000801,2.186666667e-09,3.127604167e-11
ReedSolomon,50,512,10.0,5,25600,0.000300563,0.000296056,1.174072917e-08,1.156468750e-08
RaptorQ,50,512,10.0,5,25600,0.000106765,0.000105046,4.170520833e-09,4.103346354e-09
XOR,50,512,20.0,10,25600,0.000111500,0.000001732,4.355481771e-09,6.765625000e-11
ReedSolomon,50,512,20.0,10,25600,0.000314313,0.000310606,1.227785156e-08,1.213305990e-08
RaptorQ,50,512,20.0,10,25600,0.000108074,0.000097281,4.221627604e-09,3.800026042e-09
XOR,50,512,30.0,15,25600,0.000164703,0.000002812,6.433723958e-09,1.098307292e-10
ReedSolomon,50,512,30.0,15,25600,0.000330658,0.000342253,1.291631510e-08,1.336924479e-08
RaptorQ,50,512,30.0,15,25600,0.000102765,0.000103129,4.014244792e-09,4.028463542e-09
XOR,50,512,40.0,20,25600,0.000261043,0.000003513,1.019700521e-08,1.372135417e-10
ReedSolomon,50,512,40.0,20,25600,0.000363142,0.000352220,1.418522135e-08,1.375860677e-08
RaptorQ,50,512,40.0,20,25600,0.000104372,0.000099774,4.077044271e-09,3.897421875e-09
XOR,50,512,50.0,25,25600,0.000271375,0.000004650,1.060058594e-08,1.816406250e-10
ReedSolomon,50,512,50.0,25,25600,0.000381782,0.000370848,1.491337240e-08,1.448626302e-08
RaptorQ,50,512,50.0,25,25600,0.000109408,0.000114246,4.273736979e-09,4.462734375e-09
